Steps,Phase,Resources Link(s),Owner of Work ,Deadline ,Audit Completed,Marketing Completed,What's Needed ,Location (URL) Customer Facing ,Location (URL) Video (if applicable) Customer Facing,Internal documentation URL ,Internal Video (if applicable),Internal Training Needed,Notes,,COUNTA of Steps,Deadline ,,,,,
Request Record Configurations Entered,Basic Configurations,Not sure if there is documentation on studio and advanced configurations ,Zach,10/20,In process,N/A,Internal action workbook that requires owner to add all fields and options ,N/A,N/A,Lunch and learn doc & video,,,,,Owner of Work ,10/20,11/7,11/14,11/21,11/28,Grand Total
Welcome / Getting Started Email,Welcome / Getting Started,Templated email in sharepoint,Leigh,11/7,Completed,N/A - email only,"Template welcome email with Logo and URL request, include dates and time for welcome call ",Revised sample email YouConnect Getting Started.docx,N/A,NA,NA,N/A,,,Leigh,,7,2,6,2,17
Kick off call Invite ,Welcome / Getting Started,,Leigh,11/7,Completed,N/A- invite agenda,Agenda for invitiation to send on Welcome call. What is covered. ,Kickoff Call Invite Agenda.docx,N/A,NA,NA,N/A,Zach Complete,,Missie,,6,1,1,1,9
Logo Creation ,Welcome / Getting Started,KB on logo creation ,Zach,11/7,Completed,N/A,Manual on how to create a logo ,N/A,N/A,https://dohringgroup.sharepoint.com/:w:/s/DG.2/EXBRdgPVPVRJgrjn89tHYjwBfQt-MBWO0FlFdPiVDz3gwQ?e=bpNCYP,,Training to create a new logo,,,Sunda,,,,,2,2
Setting up Site,Welcome / Getting Started,One Note for easy access- Will want to document in KB,Leigh,11/7,Completed,N/A,Template internal email sent to Tom (IT) - Add additional set up steps for CS Team,N/A,N/A,https://www.google.com/url?q=https://dohringgroup.sharepoint.com/:w:/s/DG.2/ERCvLfJOGMZBqEVRifDc1bwBMvkku7mlGy8xX89L-Q9_qA?e%3DBvDVdX&sa=D&source=editors&ust=1762382769552000&usg=AOvVaw3b7nW2MBSFQsFF7yQVMjtv,,,May modify the document with notes on how I want a Kick off call to look like. Hoping to add in notes on Agenda Management - need to items added to contract regarding 60 days onboard,,Trey,,,2,1,1,4
Q&A Call Invitations,Welcome / Getting Started,No,Missie,11/7,Ask Leigh to review,N/A,Tempate of agenda for the configuration calls ,N/A,N/A,Agenda for Q & A calls.docx,,,This includes the agenda for all 3 Q & A calls during onboarding. Unsure if maybe this should just be an email that gets sent to client letting them know we will be having these calls and invites will be coming? ,,Zach,1,2,2,3,4,12
Request Record Configurations,Basic Configurations,Workbook,Zach,11/7,In process,,Customer facing workbook on what is needed for Request Record,Request Record - Default Fields.xlsx,?,N/A,N/A,Training and Confirmation of understanding for the topic,,,Zach/ Missie (see comment),,,,,1,1
Q&A call- Review Basic configurations ,Basic Configurations,,Missie,11/7,Completed,N/A,Tempate of agenda for the configuration calls ,N/A,N/A,Agenda for Call 1 Review basic configs.docx,,,,,Grand Total,1,15,7,11,11,45
Q&A call- Review Vendor Letters and Review Form Draft,Documents,,Missie,11/7,Completed,N/A,Tempate of agenda for the configuration calls ,N/A,N/A,Agenda for Call 2 Review Initial Draft of Vendor Letters & Rev Forms.docx,N/A,,,,,,,,,,
JM Training Schedule,Training ,,Leigh,11/7,Completed,N/A,Tempate of agenda for the training calls ,N/A,N/A,https://dohringgroup.sharepoint.com/:w:/s/DG.2/ERUxg13OGF9GrjmxHy1VUdUBkrEIlsNAh60ZsWlWH7eCUg?e=1qboYI,N/A,,,,,,,,,,
Email confirmation on Document Edits,Documents,,Leigh,11/7,Completed,N/A,Template of confirmation that the documents have been edited ,N/A,N/A,Confirmation on Document Edits.docx,N/A,,,,,,,,,,
UAT Testing ,UAT ,UAT Workbook,Missie,11/7,Completed,,Template of what the customer should be testing and looking for , UAT Checklist - 10 24 24.xlsx                           Internal UAT Doc: https://dohringgroup.sharepoint.com/:w:/s/DG.2/EWGPIhvl4llFhmfXEodjG6AB13AmthViUWaUcdPwHWlPrg?e=edIgtS                                      Link to Web form screenshots: https://dohringgroup.sharepoint.com/:f:/s/DG.2/EmDQDDnGoddGh4wmBtQwQ_EB3vdTGFwFaJEBMKvTwDuFjg?e=bFoAgw,N/A,NA,N/A,N/A,,,,,,,,,
Q&A call- UAT Testing ,UAT ,UAT Workbook,Missie,11/7,Completed,N/A,Tempate of agenda for Q&A from UAT testing ,N/A,N/A,Agenda for Call 3 UAT Testing.docx,N/A,,Please also refer to Cell K16 for Request Record - Internal Guide,,,,,,,,
Confirm UAT testing changes ,UAT ,,Leigh,11/7,Completed,,Template of confirmation that the UAT changes have been edited ,https://www.google.com/url?q=https://dohringgroup.sharepoint.com/:w:/s/DG.2/EUA7UesnctFPppSU8yRxmzgBbxOOvqT4_a7_bAU11N1vmA?e%3DYQEVgt&sa=D&source=editors&ust=1762445401742129&usg=AOvVaw1VTYSypzr7Vb927pZ0xj8_,N/A,N/A,N/A,,,,,,,,,,
Lendor Traing Scheduled ,Training ,,Leigh,11/7,Completed,N/A,Tempate of agenda for Lendor Training ,N/A,N/A,https://dohringgroup.sharepoint.com/:w:/s/DG.2/EUkIgwsJPJ9Bo_8NMc44HjcB2M8uj1w7tygY0V2_uHgMhA?e=TlArIh,,,Review Record Workbook is built into the Request Record Workbook,,,,,,,,
Confirmation of Go Live ,Go Live ,Resource Page for Manuals,Missie,11/7,Completed,,Template of what the customer should be looking for ,Client Confirmation of Go Live.docx,N/A,NA,,,Review Record Workbook is built into the Request Record Workbook,,,,,,,,
Kick off call format,Welcome / Getting Started,Notepad and sharepoint template,Missie,11/14,In process,N/A,"Training for the team on the purpose and importance of the kick off call. What is covered on the call, what questions are crucial to ask, what the outcomes are to be delivered. ",N/A,N/A,                                                                                                  Document Ww/talking points below: https://dohringgroup.sharepoint.com/:w:/s/DG.2/EeOcJTiyIk9NlegGZNULqgcBbxGS2sD1gQg6wOfhWZJ9XQ?e=Pwqo97,Farmers & Merchants Bank YouConnect Kick off call-20251030_115916-Meeting Recording.mp4,Training on why a Kickoff call ,,,,,,,,,
Request type Configurations ,Basic Configurations,Workbook,Leigh,11/14,Completed,,Customer Facing workbook on what is needed for Request Type  ,https://dohringgroup.sharepoint.com/:w:/s/DG.2/EfBrknKN04NGrpshNyF58coBp4_RT8LpSND3rvRrec78Hg?e=HmIgU7,https://dohringgroup.sharepoint.com/:v:/s/DG.2/EaJhPVGP6TxAs4oxNZ2YOBMBPi9Fj6LspHV1Lrtjv7Vs8g?e=2U0lSn,N/A,N/A,Training and Confirmation of understanding for the topic,,,,,,,,,
Request type- entered,Basic Configurations,No,Leigh,11/14,In process,N/A,Internal action workbook that requires owner to add all fields and options ,N/A,N/A,https://dohringgroup.sharepoint.com/:w:/s/DG.2/Edp_tgzGTWRJtXfW6Td6kmkBa8ctl7EWnuD_yn6snfxSEQ?e=8Op2xe,N/A,,,,,,,,,,
Property Categories/Types Configurations,Basic Configurations,Workbook,Trey,11/14,Property Cat_Type instructions.docx,,Customer Facing workbook  on what is needed for Property Categories and Type,https://dohringgroup.sharepoint.com/:x:/s/DG.2/EaPtMsXwictMme1EXBszPNQBcl_EAh4hoAooOqNBpPuBdA?e=X74HUz,,N/A,N/A,Training and Confirmation of understanding for the topic,,,,,,,,,
Property Categories/Types Entered,Basic Configurations,No,Trey,11/14,Needs to be updated,N/A,Internal action workbook that requires owner to add all fields and options ,N/A,N/A,https://dohringgroup.sharepoint.com/:x:/s/DG.2/Eb2OFl4obhxNuvbmFZICKz8BaKkorXOuPvaQUa8wBWktJw?e=g93c1A,?,,,,,,,,,,
Property Record Configurations,Basic Configurations,Workbook,Zach,11/14,In process,,Customer facing workbook on what is needed for Property Record ,Property Record - Default Fields,Property Record - Companion Video,N//A,N/A,Training and Confirmation of understanding for the topic,,,,,,,,,
Property Record Configurations Entered,Basic Configurations,Not sure if there is documentation on studio and advanced configurations ,Zach,11/14,In process,N/A,Internal action workbook that requires owner to add all fields and options ,N/A,N/A,Property Record - Internal Guide,?,,,,,,,,,,
Review Record Configurations ,Basic Configurations,Workbook,Zach,11/21,Seperate?,,Customer facing workbook on what is needed for Review record,Request Record - Default Fields.xlsx,,N/A,N/A,Training and Confirmation of understanding for the topic,,,,,,,,,
Review Record Configurations Entered,Basic Configurations,Not sure if there is documentation on studio and advanced configurations ,Zach,11/21,In process,N/A,Internal action workbook that requires owner to add all fields and options ,N/A,N/A,Request Record - Internal Guide,,,,,,,,,,,
Workflow Timers- Configurations,Basic Configurations,Workbook,Leigh,11/21,In process,,Customer facing workbook on what is needed for Workflow Timers ,https://dohringgroup.sharepoint.com/:w:/s/DG.2/EZJ_prb7QkJLoQcjEYqfx5cBIbJMESUjqX-2k4J49i2rlQ?e=iekwO6,N/A,N/A,N/A,Training and Confirmation of understanding for the topic,,,,,,,,,
Workflow Timers- Entered,Basic Configurations,KB document on Workflow timers,Leigh,11/21,In process,N/A,Internal action workbook that requires owner to add all fields and options ,N/A,N/A,https://realwired.knowledgebase.co/article-313.html,N/A,,,,,,,,,,
Document Type Names,Basic Configurations,Workbook,Leigh,11/21,In process,,Customer facing workbook on what is needed for Document Type Names (Internal) ,https://dohringgroup.sharepoint.com/:w:/s/DG.2/ETe6Ez6pFiJMjHMnq3G6X_EB9aRiRavzh_dEo0i50TsQuA?e=Jf2dw4,Yes,,,Training and Confirmation of understanding for the topic,,,,,,,,,
Document type Names Entered,Basic Configurations,KB Document on type names,Leigh,11/21,,,Internal action workbook that requires owner to add all fields and options ,NA,N/A,,,,,,,,,,,,
Reject Reasons ,Basic Configurations,Workbook,Leigh,11/21,,,Customer facing workbook on what is needed for Reject Reasons,,,,,Training and Confirmation of understanding for the topic,,,,,,,,,
Reject Reasons Entered,Basic Configurations,KB Document on reject reasons,Leigh,11/21,,,Internal action workbook that requires owner to add all fields and options ,N/A,N/A,,,,,,,,,,,,
Vendor Reminder,Configurations ,Workbook,Trey,11/21,PAUSE,PAUSE,Training documentation on what is needed for Vendor Imports (Internal) ,,,,,Training and Confirmation of understanding for the topic,,,,,,,,,
JM Training session 1,Training ,Job Manager Manual ,Missie,11/21,Completed,N/A,Training the team on what needs to be covered on the training ,N/A,N/A,Job Manager Training Session 1.docx,May decide to add a previous recording?,,,,,,,,,,
JM Training session 2,Training ,Job Manager Manual ,Zach,11/21,Completed,N/A,Training the team on what needs to be covered on the training ,N/A,N/A,Job Manager Training - Session 2 Outline,,,,,,,,,,,
JM Routing - Logical Routing/Assigned Area/Request Type JM,Basic Configurations,Workbook,Zach,11/28,,,"Customer facing workbook on what is needed for  Assigned Area Routing, Logical Routing and JM Request Type ",,,,,Training and Confirmation of understanding for the topic,,,,,,,,,
Locgial Routing/Assigned Area Routing & Request Type JM Entered,Basic Configurations,Bank Admin Manual,Zach,11/28,,,"Internal action workbook that requires owner to add all fields and options for Assigned Area Routing, Logical Routing, JM Request Type",N/A,N/A,,,,,,,,,,,,
General Settings Reminder & Bank Set Up,Basic Configurations,Workbook,Zach/ Missie (see comment),11/28,,,"Customer facing workbook on what is needed for  General Settings 
",,,N/A,N/A,Training and Confirmation of understanding for the topic,,,,,,,,,
General Settings and Bank Setup Enter,Basic Configurations,KB Document on general settings,Zach,11/28,,,Internal action workbook that requires owner to add all fields and options ,N/A,N/A,,,,,,,,,,,,
